Kalimat Asli,Kalimat Dinormalisasi,Level Kata Kasar,Disamarkan
"RT USER: Kelakuan homok jaman now, ngentot aja sambil live di Blued #gayvid #gvid #lokalhangat URL",rt guna laku homo jaman now ngentot saja sambil live di blued gay video gvid lokal hangat uniform resource locator,1,0
"USER Ga kak, gua bukan orang jawa maaf yak :(; ; gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. Atau kalak mau belajar budaya palembang?",guna tidak kak gue bukan orang jawa maaf ya gue orang palembang soal kakak saja deh yang ajar aksara jawa atau kelak mau ajar budaya palembang,0,1
Pegawai Guardian training lagi kek Mentang2 gue kek gembel cuman kaos sama Flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari',pegawai guardian training lagi kayak mentangz gue kayak gembel cuma kaos sama flat shoes tanya dijutekin bangsat memang malas beli juga kabur gue ke matahari,2,1
\xe2\x80\x9dPara Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!!\xe2\x80\x9d(sanji) ##HBD17thPelautJKT48',xez xbo xgdpara bajing yang telah luka lady harus terima ganjar ratus kali lipatii xez xbo xgd sanji hbditthpelautjktab,1,1
ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri:,aja tolak berita hoaks dan sukses pilih kepala daerah di wilayah kota diri,0,0
USER USER Presiden RI Jokowi luarBiasa kerja nya tulus IHLAs untuk #RakyatB3rsamaJKW,guna guna presiden ri jokowi luar biasa kerja nya tulus ikhlas untuk rakyatbersamajkw,0,1
Edan emang goollnya fabiano!!',edan memang tuju fabianoii,1,1
GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA farhatabbaslaw',tidak pernah dalam alquran ya bang pantas saja mulut kayak orang kafir bejat hina farhat abbas law,1,0
"Sangat terlihat beda sekali Kewibawaannya ,; yg sangat berwibawa cuma gubernur Indonesia USER ; Massya Allah...",sangat lihat beda sekali wibawa yang sangat wibawa cuma gubernur indonesia guna masya allah,0,1
Anjir baru kali ini lihat orang bego mau debat pilkada. Kerjanya nyerang karakter. Shame on you mpok silvy and agus. #DebatFinalPilkadaJKT,anjir baru kali ini lihat orang bego mau debat pilih kepala daerah kerja serang karakter kecewa on kamu empok silvy and agus debat final pilih kepala daerah jakarta,2,1
"#GubernurZamanNow #GusIpulPuti2 #GanjarYasin1 #DjarotSihar2 #HasanAnton2 #KosterAce1 #NurdinSudirman3 #KarolinGidot2 RT USER: ""Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,â?? tutur Djarot di hadapan peserta Rakercabsuâ?¦",gubernur zaman now gusipulputiz ganjaryasini djarotsiharz hasanantonz kosteracei nurdinsudirmane karolingidotz rt guna keanekaragaman budaya suku agama itu sungguh kaya kita tutur djarot di hadap serta rakercabsu,0,1
"USER USER Apa iya Islam itu ga boleh dilokalisasi? Lha Kristen aja mas ada Nusantaranya mas, liat aja di Gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs Sunda/Jawa, ada HKBP juga kurang Nusantara apa?'",guna guna apa iya islam itu tidak boleh di lokalisasi lah kristen saja mas ada nusantara mas lihat saja di gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas sunda jawa ada huria kristen batak protestan juga kurang nusantara apa,0,0
"Ciptakan Situasi Kamtibmas Menjelang Pilkada 2018, Kapolsek Konang Silaturahmi ke Tokoh Masyarakat",cipta situasi aman dan tertib masyarakat jelang pilih kepala daerah zoib kepala polisi sektor konang silaturahmi ke tokoh masyarakat,0,1
USER USER positif kok.\nse-positif respon masyarakat terhadap\n- CANGKUL impor\n- GARAM impor\n- BERAS impor\n- JAGUNG impor\n- TENAGA KERJA impor\n- ESEMKA impor\n\nURL,guna guna positif kok nsepositif respon masyarakat hadap dan cangkul impor dan garam impor dan beras impor dan jagung impor dan tenaga kerja impor dan esemka impor dan nurl,0,1
"USER USER USER USER Kata Sembahyang mengadopsi tradisi lokal pada masa kerjaan Hindu.\n\nIstilah\xc2\xa0sembahyang\xc2\xa0pun lahir dari tradisi ritus\xc2\xa0menyembahHyang (Yang Tunggal), sama dengan\xc2\xa0shalat menyembah All",guna guna guna guna kata sembahyang adopsi tradisi lokal pada masa kerja hindu dan istilah xcz xaosembahyang xcz xaopun lahir dari tradisi ritus xcz xaomenyembahhyang yang tunggal sama dengan xcz xaoshalat sembah all,0,1
KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA,kamu didik tinggi tapi bodoh tidak ada larang bawa agama biar orang islam yang di bayar ahok sadar tidak jadi pilih ahok gila,1,1
"USER USER BTP the best ,,,abaikan kaum kampret otak micin ,,,'",guna guna ahok the best abai kaum kampret otak micin,2,0
"USER USER , si otak tempurung mah ga usah d ladenin. Smkn d lawan semakin Bloon dan Dungu. Dan kalo ga gitu dia ga makan. Hehe'",guna guna sih otak tempurung adalah tidak usah di laden makin di lawan makin belum dan dungu dan kalau tidak begitu dia tidak makan hehe,1,1
"USER Awaasss... Jgn sampe beritanya sampe ke akhi gerung! Ntar susah nyari kosakatany. klu bcr aja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. ""politik kotor skl jmn ini!"". Klu tahu brt ini.. Plng Sambil ky nhn ngeden..""dungu!"". \xf0\x9f\x98\x8b",guna awaasss jangan sampai berita sampai ke saudara gerung nanti susah cari kosakata kalau bocor saja picing mata bibir monyong samping suara keluar ky lagi nhn kentut politik kotor sekali zaman ini kalau tahu brt ini pulang sambil ky nhn ngeden dungu xfo xgf xgb xbb,1,1
pinokio umur 3 taonan tuh. #2019GantiPresiden,pinokio umur e tahun itu zoiggantipresiden,1,1
"USER Cerita silat lae \xf0\x9f\x98\x80 semacam Kho Ping Hoo yang dari Indonesia, tapi Liang Ie Shen penulis dari China'",guna cerita silat lae xfo xgf xgb xbo macam kho merah muda oh yang dari indonesia tapi liang ie shen tulis dari cina,0,1
RT USER benci sekali dgn Umat Islam,rt guna benci sekali dengan umat islam,2,0
"USER USER USER ""Provokasi mayat, politisasi agama"" penyebab kekalahan pilkada DKI, beginilah cara cebong mendeskripsikan kekalahan junjungannya.; FYI ahog blm pernah ikut pemilihan apapun (kec jd wakil) dan dia bukanlah etnis mayorita",guna guna guna provokasi mayat politisasi agama sebab kalah pilih kepala daerah daerah khusus ibukota begini cara cebong deskripsi kalah junjung for your information ahok belum pernah ikut pilih apa camat jadi wakil dan dia bukan etnis mayoritas,1,1
USER dari pada gua nete',guna dari pada gue nete,1,0
USER Lol bani lowo',guna wkwk bani lowo,2,0
"Takabur bisa lahir dari siapa saja. Penguasa, rakyat, ulama maupun cendikia. Bahkan iblis mahluq yg alim &amp; telah beribadah beratus2 th dilaknat krn hasud takabburnya. Apalagi hanya seorang ahli ilmu filsafat yg tdk failosof; ; Mari kita demo diri sendi",takabur bisa lahir dari siapa saja kuasa rakyat ulama maupun cendikia bahkan iblis makhluk yang alim amp telah ibadah beratusz tahun laknat karena hasud takabur apalagi hanya orang ahli ilmu filsafat yang tidak failosof mari kita demo diri sendi,0,1
"A orang yang suka ke konser-konser, sedikit boros.",a orang yang suka ke konserkonser sedikit boros,0,1
[ SAMPAI KAPAN MAKAN RACUN ? ]; _; Banyak ulama yang mengatakan hukum rokok mubah dan ada jugaâ?¦,sampai kapan makan racun banyak ulama yang kata hukum rokok mubah dan ada juga,0,0
Susilo Bambang Yudhoyono Presiden RI ke 6 meminta Khofifah Emil untuk dekat dengan masyarakat . No 1 Bisa ! BaGusS #KhofifahEmilNomer1,susilo bambang yudhoyono presiden ri ke tidak minta khofifah emil untuk dekat dengan masyarakat no i bisa i bagus khofifahemilnomeri,0,1
"USER udah biasa kali. Gue kpoper tapi kalo ngomonv sama temen2 gue, idol gua banci homo'",guna sudah biasa kali gue gemar korea pop tapi kalau omong sama temenz gue idol gue banci homo,1,1
Saya suka video USER URL Awal Kisah Perseteruan Haji Bolot &amp; Malih Tongtong',saya suka video guna uniform resource locator awal kisah seteru haji bolot amp malih tongtong,0,0
"Budaya kafir bersungguh, klau hal2 islam tidak diendahkan...",budaya kafir sungguh kalau halz islam tidak indah,0,1
"USER USER USER USER \xf0\x9f\x8e\xb6 la la la...hm hmm \xf0\x9f\x8e\xa7 ""Semua diam ,semua bisu""\n""Kita coba tanya sama rumput yg bergoyang"" \n\xe2\x99\xab\xe2\x99\xab\xe2\x99\xab\xe2\x99\xaa\xe2\x99\xaa\xe2\x99\xaa'",guna guna guna guna xfo xgf xbe xbg lah lah lah hem hem xfo xgf xbe xat semua diam semua bisu kita coba tanya sama rumput yang goyang dan xez xgg xab xez xgg xab xez xgg xab xez xgg xaa xez xgg xaa xez xgg xaa,0,1
"Apabila setan membisikkan was-was kepadamu, mintalah perlindungan kepada Allah. (QS. al-A\xe2\x80\x99raf: 200 dan Fushilat: 36).'",apabila setan bisik waswas kepada minta lindung kepada allah qs ala xez xbo xggraf zoo dan fussilat eg,0,1
USER USER USER USER USER USER USER Klw ente atheis..ngapain sibuk dgn agama orang...,guna guna guna guna guna guna guna kalau kamu ateis apa sibuk dengan agama orang,0,1
Lengserkan Jokowi Bangsat!!,lengser jokowi bangsatii,3,1
USER Selamat hari kartini ; ; #2019GANTIPRESIDEN; #2019PRESIDENBARU,guna selamat hari kartini zoiggantipresiden zoigpresidenbaru,0,1
"RT USER: Bajingan Homo!!!\nHati2 terhadap anak2 kita terutama di kamar mandi laki2, jgn biarkan sendiri! URL",rt guna bajing homoiii nhatiz hadap anakz kita utama di kamar mandi lakiz jangan biar sendiri uniform resource locator,1,1
USER Iya cocot',guna iya cocot,1,0
USER karena budaya indonesia.,guna karena budaya indonesia,0,1
"USER Yang ngajarin solat'a ajah itu orang aseng dia hanya ingin memecah belah islam""",guna yang ajar solata saja itu orang asing dia hanya ingin pecah belah islam,0,0
USER x || Lo ngomong aja kaga bener bangke',guna x kamu bicara saja tidak benar bangkai,1,1
USER USER Kita semua tidak pernah akan mempercayai yg negara Kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara Kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja,guna guna kita semua tidak pernah akan percaya yang negara kita di suatu hari nanti akan jajah oleh ke ranah dapat keszpembubaran sistemz beraja di negara kita kini untuk jadi bagai negara republik komunis padahal negaraz jaja,0,1
tapi masih menikmati kebijakan yang dulu diusulkan PKI.. lha yo opo...,tapi masih nikmat bijak yang dulu usul partai komunis indonesia lah iya apa,2,1
Kalo seumpama orang cina di usir paksa dari indonesia gimana,kalau umpama orang cina di usir paksa dari indonesia bagaimana,2,0
USER bunda ngentot yuk',guna bunda ngentot yuk,1,0
RT USER: china babi... china maling...\n#UsirChina https:\/\/t.co\/9y4HIWHJp2,rt guna cina babi cina maling dan usir cina hypertext transfer protocol over secure socket layer tco gyahiwhjpz,3,1
"Bung Karno anti asing dan beliau dari Jawa, coba deh adain konsensus lebih banyak mana Jawa yang anti asing atau pro asing karena kebo*ohannya. \n\nKalau kami keliru kami tutup akun'",bung karno anti asing dan beliau dari jawa coba deh adakan konsensus lebih banyak mana jawa yang anti asing atau pro asing karena kebo ohannya dan kalau kami keliru kami tutup akun,0,1
PROYEK KORUPSI REZIM SBY URL,proyek korupsi rezim susilo bambang yudhoyono uniform resource locator,1,0
"USER Wajar saja, lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara'",guna wajar saja lihat saja tingkah beberapa petinggi negeri ini yang suka campur bahas indonesia dengan bahas asing tiap kali bicara,0,0
AB: pribadi yg senang berkompetisi dalam hal yang baik dan positif,ab pribadi yang senang kompetisi dalam hal yang baik dan positif,0,0
USER USER Terus menurut lo kitab suci agAma apa yg di bilang om USER ; ; #Mendadakkalap,guna guna terus turut kamu kitab suci agama apa yang di bilang om guna dadak kalap,1,0
USER Suka nutup mata. Kaga ditutup pun udah terlihat tertutup gara2 sipit /?',guna suka tutup mata tidak tutup pun sudah lihat tutup garaz sipit,0,1
"USER Sy sbg muslim tdk merasa pak USER menistakan kitab suci Alqur'an, krn dlm Alqur'an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam, tp kami yakini kata tsb ada makna yg tersirat (fiksi) yg blm",guna saya bagai muslim tidak rasa pak guna nista kitab suci alquran karena dalam alquran sendiri ada beberapa suku kata yang sampai detik ini belum tahu makna faktual oleh umat islam tetapi kami yaitu kata sebut ada makna yang sirat fiksi yang belum,0,0
USER eh kasar kau kampang',guna eh kasar kamu kampang,1,0
"BENTAR LAGI GUA RILIS ALBUM THE ONTA'S WKWKWKWKWK""",bentar lagi gue rilis album the ontas wkwk,0,0
USER Ada cebong bang dia merasa paling benar',guna ada cebong bang dia rasa paling benar,1,0
Najis banget gw ngetwit apa barusan wey',najis banget gue mentwit apa barusan he,1,0
Kamu transgender atau gmn anjing :( URL,kamu transgender atau bagaimana anjing uniform resource locator,1,0
USER awas bintitan lu ngintipin titit kucing',guna awas bintit kamu intip titit kucing,1,0
"USER USER Bawel, baper, bolot, baik, bodor , gaje wkwk apa ya udah itu aja deh'",guna guna bawel bawa asa bolot baik bodor enggak jelas wkwk apa ya sudah itu saja deh,1,0
"USER USER USER USER Gue saranin gk perlu bnyk bacot maling ayat, langsung to the point aja lu jadi orang... Yg tdk sepaham lu teriakin aja kafir sesat, liberal, pemuja dukun, bla blaaa.. pasti hatimu puas dehh ..'",guna guna guna guna gue saran tidak perlu banyak bacot maling ayat langsung to the point saja kamu jadi orang yang tidak paham kamu riak saja kafir sesat liberal puja dukun bla blaaa pasti hati puas deh,1,1
Jgn salah target bkn ahok... agenda utama lengserkan Jokowi ..,jangan salah target bukan ahok agenda utama lengser jokowi,3,1
USER USER masa baru kena hestek aja udah kepanasan ??? Kepo banget ; ; #2019GantiPresiden,guna guna masa baru kena tagar saja sudah panas ingin tahu banget zoiggantipresiden,1,1
"Maju lu sini duit tapi kau goyang kaki tak buat pape , mana la duit nak maju kat kau bodo URL",maju kamu sini duit tapi kamu goyang kaki tak buat pape mana lah duit nak maju kat kamu bodoh uniform resource locator,1,0
"USER HKBP berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda,dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik.\nTerjadilah perpecahan dan berdirilah HKBP yg prtama kali di tarutung.\n\nNah skrg anda sy k",guna huria kristen batak protestan diri itu sejak pecah kristen katolik pada zaman jajah belanda dulu tidak ada yang nama kristen protestan yang ada cuma kristen katolik jadi pecah dan diri huria kristen batak protestan yang pertama kali di tarutung dan nah sekarang anda saya k,0,1
"Ha .. ha .. Banyak baca biar pintar ... JEPANG, AMERIKA, CHINA... Utang sama siapa ... Anda tau enggak ..?",apa apa banyak baca biar pintar jepang amerika cina utang sama siapa anda tau tidak,0,1
Prabowo Sudah Kalah Menyebut Bantuan Jokowi Hanya Pencitraan Adalah Ratapan Pilu,prabowo sudah kalah sebut bantu jokowi hanya citra adalah ratap pilu,1,0
USER USER dan yang takut dengan adzan adalah IBLIS',guna guna dan yang takut dengan azan adalah iblis,0,0
USER USER Yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus. Propaganda nasi bungkus memang selalu gagal.',guna guna yang goblok itu adalah bani cebong tukang tipu jilat kuasa yang tahu gera masa yang bayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal,2,1
USER USER USER USER Wuih... cebong sewot...\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',guna guna guna guna wah cebong sewot dan xfo xgf xgb xbz xfo xgf xgb xbz xfo xgf xgb xbz,1,1
2. Gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,z gera ini tekan penting kerja keras cara total untuk tingkat potensi bangsa,0,1
Padahal gubernur saat ini Djarot. Mayoritas partai politik di DPRD juga pendukung Ahok Djarot. Payah ya mereka USER URL,padahal gubernur saat ini djarot mayoritas partai politik di dewan wakil rakyat daerah juga dukung ahok djarot payah ya mereka guna uniform resource locator,1,1
"USER rezim rusak bukan memperbaiki systeamnya malah sibuk cari2 kesalahan klu itu pasti ketemu aja, KPK alatnya, besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi, orangnya'",guna rezim rusak bukan baik sistem malah sibuk cariz salah kalau itu pasti ketemu saja komisi berantas korupsi alat besok perintah ganti ulang kembali engah pernah selesai siapa organisasi orang,0,1
"Saat orang orang saling menuding antek aseng, aseng sesungguhnya bertepuk tangan.'",saat orang orang saling tuding antek asing asing sungguh tepuk tangan,0,1
USER Nah loh katanya anti aseng',guna nah lah kata anti asing,0,0
"Selamat Pak USER Semoga Bisa Terus Berkiprah, Bahkan Tingkat Nasional.",selamat pak guna moga bisa terus kiprah bahkan tingkat nasional,0,1
#AsyikM3nang saya sih ikut ulama saja,asyikmenang saya sih ikut ulama saja,0,1
USER Yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan. Termasuk pt who tambang bouksid yg viral saat pilpres dulu. \nDan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora,guna yang saya tahu bahwa ketapang banyak tenaga kerja asing asing yang kerja di bagai usaha masuk pt who tambang bauksit yang viral saat pilih presiden dulu dan bisa jadi ini karena kerja sama sebut jadi di era gubernur cornelis dan wakil tidak,0,1
USER Anak pecun... ga jauh2 dr hobi zina.. haha',guna anak pecun tidak jauhz dari hobi zina haha,1,1
USER QUE BOM SBBSNSN',guna aku bom surat harga syariah negara,0,0
"USER Istirahat aja pak presiden momentum sudah berlalu, saya pernah jadi saksi telinga dan mata awal rapat pembentukan PD di Pacitan tahun 2003",guna istirahat saja pak presiden momentum sudah lalu saya pernah jadi saksi telinga dan mata awal rapat bentuk pada di pacitan tahun zooe,0,1
"Pada 1979, House Select Committee on Assassinations (HSCA) menemukan cacat investigasi yang dilakukan FBI dan Warren Commission. HSCA juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya.'",pada igtg house select committee on assassination hsca temu cacat investigasi yang laku fbi dan warren commission hsca juga simpul ada empat tembak yang laku dan mungkin dapat konspirasi di dalam,0,1
"USER Tak terasa genap 1 tahun mendatang 17 April 2018 akan digelar Hajatan pilpres, acara tahunan Negara Indonesia untuk memilih Presiden. Semoga senantiasa berjalan aman dan lancar. Amin.",guna tak asa genap i tahun datang it april zoib akan gelar hajat pilih presiden acara tahun negara indonesia untuk pilih presiden moga senantiasa jalan aman dan lancar amin,0,1
USER Ian pantat',guna ian pantat,1,0
"USER USER Ngakunya org pintar dan beragama, emangnya agama mana yg memperbolehkan menista dan menghujat org lain???. Jgnkan orang bodoh, org yg ( maaf) sejak lahir idiot sekalipun dia, kita hrs hargain sebagai sesama ciptaan Tuhan. Ingat : iblis itu juga pintar dan sangat licik!!!'",guna guna aku orang pintar dan agama memang agama mana yang boleh nista dan hujat orang lain jangan orang bodoh orang yang maaf sejak lahir idiot sekalipun dia kita harus harga bagai sama cipta tuhan ingat iblis itu juga pintar dan sangat licikiii,1,1
Pendaftaran Capres untuk #Pilpres2019 saja belum dibuka sampai Agustus 2018...yang normatif begini politikus PDIP masih belum paham? #2019GantiPresiden !!,daftar calon presiden untuk pilpreszoig saja belum buka sampai agustus zoib yang normatif begini politikus partai demokrasi indonesia juang masih belum paham zoiggantipresiden ih,2,1
Si tolol udah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang DPR paya cebong URL,sih tolol sudah tau perintah rezim komunis ini bobrok koruptor bisa pimpin sidang dewan wakil rakyat paya cebong uniform resource locator,1,0
dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe kepikiran dan gabisa tidur lohh?!! dan w ngerasa jadi anak yg brengsek aja gt ke laki2 :)))',dari dulu kenapa bapak gue kalau ke mantan mantan gue selalu rasa sedih sampai pikir dan tidak bisa tidur lo ih dan gue rasa jadi anak yang berengsek saja begitu ke lakiz,1,1
Cina perusak bangsa!! Usir !! Stuju??,cina usak bangsai usir ih tuju,3,1
#2019GantiPresiden scra konstitusional hak setiap rakyat woiii!! . Gini nih kalo planga plongo tapi kelakuan otoriter.,zoiggantipresiden cara konstitusional hak tiap rakyat woiiiii begini nih kalau plonga plongo tapi laku otoriter,1,1
Mari kita wujudkan Pilkada Kota Bengkulu 2018 aman dan damai.; .; .; coki_adem86 98heruâ?¦,mari kita wujud pilih kepala daerah kota bengkulu zoib aman dan damai cokiadembg gbheru,0,1
